"forecast_date","ensemble_member","variable","value"
2020-09-25,1,"air_temperature",27.0058202107748
2020-09-26,1,"air_temperature",27.642407989502
2020-09-27,1,"air_temperature",28.0299176534017
2020-09-28,1,"air_temperature",25.8185897827149
2020-09-29,1,"air_temperature",25.3055651346843
2020-09-30,1,"air_temperature",21.3720235188802
2020-10-01,1,"air_temperature",21.1070788065593
2020-10-02,1,"air_temperature",22.0518127441406
2020-09-25,2,"air_temperature",27.2549593607585
2020-09-26,2,"air_temperature",27.9995068868002
2020-09-27,2,"air_temperature",27.5427007039388
2020-09-28,2,"air_temperature",27.0257609049479
2020-09-29,2,"air_temperature",25.4271052042643
2020-09-30,2,"air_temperature",20.4430341084798
2020-10-01,2,"air_temperature",19.2763865152995
2020-10-02,2,"air_temperature",18.8105496724447
2020-09-25,3,"air_temperature",27.8966016133627
2020-09-26,3,"air_temperature",28.2302096048991
2020-09-27,3,"air_temperature",27.8362721761068
2020-09-28,3,"air_temperature",27.4903414408366
2020-09-29,3,"air_temperature",27.4857650756836
2020-09-30,3,"air_temperature",25.1621566772461
2020-10-01,3,"air_temperature",22.9202425638835
2020-10-02,3,"air_temperature",21.694056447347
2020-09-25,4,"air_temperature",26.592067972819
2020-09-26,4,"air_temperature",27.09449412028
2020-09-27,4,"air_temperature",27.2228205362956
2020-09-28,4,"air_temperature",25.804532623291
2020-09-29,4,"air_temperature",23.8757110595703
2020-09-30,4,"air_temperature",22.3996393839518
2020-10-01,4,"air_temperature",20.6838915506999
2020-10-02,4,"air_temperature",20.1205777486166
2020-09-25,5,"air_temperature",27.3280553181966
2020-09-26,5,"air_temperature",28.1082817077637
2020-09-27,5,"air_temperature",28.075996653239
2020-09-28,5,"air_temperature",27.61904296875
2020-09-29,5,"air_temperature",26.9157958984375
2020-09-30,5,"air_temperature",23.6343119303386
2020-10-01,5,"air_temperature",21.7166241963705
2020-10-02,5,"air_temperature",21.7995836893718
2020-09-25,6,"air_temperature",27.2413536071778
2020-09-26,6,"air_temperature",28.2578152974447
2020-09-27,6,"air_temperature",28.0933700561524
2020-09-28,6,"air_temperature",25.7631940205892
2020-09-29,6,"air_temperature",26.1198084513347
2020-09-30,6,"air_temperature",25.1320472717285
2020-10-01,6,"air_temperature",23.2767819722494
2020-10-02,6,"air_temperature",22.5439595540365
2020-09-25,7,"air_temperature",27.5366861979167
2020-09-26,7,"air_temperature",27.4745943705241
2020-09-27,7,"air_temperature",27.6719846089681
2020-09-28,7,"air_temperature",27.3551956176758
2020-09-29,7,"air_temperature",25.8519340515137
2020-09-30,7,"air_temperature",23.4381996154785
2020-10-01,7,"air_temperature",22.7703859965007
2020-10-02,7,"air_temperature",20.3121658325196
2020-09-25,8,"air_temperature",27.2835072835287
2020-09-26,8,"air_temperature",27.5805755615235
2020-09-27,8,"air_temperature",27.8991956075033
2020-09-28,8,"air_temperature",24.4058993021647
2020-09-29,8,"air_temperature",23.8671343485515
2020-09-30,8,"air_temperature",19.8924156188965
2020-10-01,8,"air_temperature",21.3683601379395
2020-10-02,8,"air_temperature",22.1031941731771
2020-09-25,9,"air_temperature",27.2118990580241
2020-09-26,9,"air_temperature",27.6066846211752
2020-09-27,9,"air_temperature",27.6254503885905
2020-09-28,9,"air_temperature",25.4972434997559
2020-09-29,9,"air_temperature",24.1304946899414
2020-09-30,9,"air_temperature",20.3358283996582
2020-10-01,9,"air_temperature",21.876549021403
2020-10-02,9,"air_temperature",23.3801399230957
2020-09-25,10,"air_temperature",27.1439020792643
2020-09-26,10,"air_temperature",27.7286837259929
2020-09-27,10,"air_temperature",27.6373128255209
2020-09-28,10,"air_temperature",26.5968541463216
2020-09-29,10,"air_temperature",25.8539672851563
2020-09-30,10,"air_temperature",23.8514355977377
2020-10-01,10,"air_temperature",19.1112838745117
2020-10-02,10,"air_temperature",21.2784820556641
2020-09-25,11,"air_temperature",27.1176506042481
2020-09-26,11,"air_temperature",28.1456924438477
2020-09-27,11,"air_temperature",27.2686630249024
2020-09-28,11,"air_temperature",25.4249168395996
2020-09-29,11,"air_temperature",25.6964380900065
2020-09-30,11,"air_temperature",23.1563201904297
2020-10-01,11,"air_temperature",19.3673034667969
2020-10-02,11,"air_temperature",20.1022773742676
2020-09-25,12,"air_temperature",27.1043551127116
2020-09-26,12,"air_temperature",27.4696784973145
2020-09-27,12,"air_temperature",27.7744550069173
2020-09-28,12,"air_temperature",27.1153897603353
2020-09-29,12,"air_temperature",25.9822415669759
2020-09-30,12,"air_temperature",23.2129709879558
2020-10-01,12,"air_temperature",22.4924776713054
2020-10-02,12,"air_temperature",22.9940505981446
2020-09-25,13,"air_temperature",27.1391756693522
2020-09-26,13,"air_temperature",27.700700378418
2020-09-27,13,"air_temperature",27.417492167155
2020-09-28,13,"air_temperature",25.3476247151693
2020-09-29,13,"air_temperature",25.2299718221029
2020-09-30,13,"air_temperature",25.5125239054362
2020-10-01,13,"air_temperature",21.9252042134603
2020-10-02,13,"air_temperature",21.2158574422201
2020-09-25,14,"air_temperature",26.7667823791504
2020-09-26,14,"air_temperature",27.8041982014974
2020-09-27,14,"air_temperature",27.3006556193034
2020-09-28,14,"air_temperature",26.8906888326009
2020-09-29,14,"air_temperature",27.0476114908854
2020-09-30,14,"air_temperature",21.0074211120606
2020-10-01,14,"air_temperature",19.2326293945313
2020-10-02,14,"air_temperature",22.1462773640951
2020-09-25,15,"air_temperature",27.1375289916992
2020-09-26,15,"air_temperature",27.5567082722982
2020-09-27,15,"air_temperature",27.9784662882487
2020-09-28,15,"air_temperature",27.2608403523763
2020-09-29,15,"air_temperature",26.7359341939291
2020-09-30,15,"air_temperature",21.7481018066406
2020-10-01,15,"air_temperature",20.8000567118327
2020-10-02,15,"air_temperature",22.0882113138835
2020-09-25,16,"air_temperature",26.9695894877116
2020-09-26,16,"air_temperature",27.7780726114909
2020-09-27,16,"air_temperature",27.5367853800456
2020-09-28,16,"air_temperature",27.7254704793294
2020-09-29,16,"air_temperature",27.633125559489
2020-09-30,16,"air_temperature",25.0869384765625
2020-10-01,16,"air_temperature",20.8060546875
2020-10-02,16,"air_temperature",21.155955251058
2020-09-25,17,"air_temperature",26.7154556274414
2020-09-26,17,"air_temperature",27.7502507527669
2020-09-27,17,"air_temperature",27.3368278503418
2020-09-28,17,"air_temperature",25.0468180338542
2020-09-29,17,"air_temperature",22.9859596252442
2020-09-30,17,"air_temperature",19.2915817260742
2020-10-01,17,"air_temperature",20.4870760599772
2020-10-02,17,"air_temperature",20.7398900349935
2020-09-25,18,"air_temperature",27.1938262939453
2020-09-26,18,"air_temperature",27.6144449869792
2020-09-27,18,"air_temperature",27.29140625
2020-09-28,18,"air_temperature",25.7281954447429
2020-09-29,18,"air_temperature",25.308376566569
2020-09-30,18,"air_temperature",23.0374593098959
2020-10-01,18,"air_temperature",21.9296089172364
2020-10-02,18,"air_temperature",21.5326896667481
2020-09-25,19,"air_temperature",27.4152402242025
2020-09-26,19,"air_temperature",27.7852378845215
2020-09-27,19,"air_temperature",27.9882522583008
2020-09-28,19,"air_temperature",28.1089988708496
2020-09-29,19,"air_temperature",24.3714614868164
2020-09-30,19,"air_temperature",21.6603726704916
2020-10-01,19,"air_temperature",22.779630279541
2020-10-02,19,"air_temperature",22.861651357015
2020-09-25,20,"air_temperature",27.4104400634766
2020-09-26,20,"air_temperature",27.3642885843913
2020-09-27,20,"air_temperature",27.3739016215007
2020-09-28,20,"air_temperature",24.9748792012533
2020-09-29,20,"air_temperature",24.4478393554688
2020-09-30,20,"air_temperature",19.1884501139323
2020-10-01,20,"air_temperature",19.543967183431
2020-10-02,20,"air_temperature",22.5967994689942
2020-09-25,21,"air_temperature",27.5548136393229
2020-09-26,21,"air_temperature",27.4411229451498
2020-09-27,21,"air_temperature",27.5040845235189
2020-09-28,21,"air_temperature",26.5891866048177
2020-09-29,21,"air_temperature",25.8618687947591
2020-09-30,21,"air_temperature",22.9593368530274
2020-10-01,21,"air_temperature",21.3910372416179
2020-10-02,21,"air_temperature",22.8822367350261
2020-09-25,22,"air_temperature",27.4298619588216
2020-09-26,22,"air_temperature",27.7394246419271
2020-09-27,22,"air_temperature",27.5859530131022
2020-09-28,22,"air_temperature",25.5273351033529
2020-09-29,22,"air_temperature",27.11740137736
2020-09-30,22,"air_temperature",24.5865430196127
2020-10-01,22,"air_temperature",21.567394510905
2020-10-02,22,"air_temperature",19.5485219319662
2020-09-25,23,"air_temperature",26.9277676900228
2020-09-26,23,"air_temperature",27.1624961853028
2020-09-27,23,"air_temperature",27.2544876098633
2020-09-28,23,"air_temperature",25.9801714579265
2020-09-29,23,"air_temperature",24.571435546875
2020-09-30,23,"air_temperature",22.175309753418
2020-10-01,23,"air_temperature",21.4496309916179
2020-10-02,23,"air_temperature",24.277007039388
2020-09-25,24,"air_temperature",27.4398615519206
2020-09-26,24,"air_temperature",27.7772918701172
2020-09-27,24,"air_temperature",27.8599411010742
2020-09-28,24,"air_temperature",26.1880457560222
2020-09-29,24,"air_temperature",24.8378005981446
2020-09-30,24,"air_temperature",21.1048408508301
2020-10-01,24,"air_temperature",22.82380956014
2020-10-02,24,"air_temperature",24.0621442159017
2020-09-25,25,"air_temperature",27.1944862365723
2020-09-26,25,"air_temperature",27.5002342224121
2020-09-27,25,"air_temperature",27.4405507405599
2020-09-28,25,"air_temperature",26.203806813558
2020-09-29,25,"air_temperature",24.1669174194336
2020-09-30,25,"air_temperature",18.9712412516276
2020-10-01,25,"air_temperature",18.9029200236003
2020-10-02,25,"air_temperature",20.4677177429199
2020-09-25,26,"air_temperature",26.9547299702962
2020-09-26,26,"air_temperature",28.0484545389811
2020-09-27,26,"air_temperature",27.8869237263998
2020-09-28,26,"air_temperature",25.7367683410645
2020-09-29,26,"air_temperature",26.7036618550619
2020-09-30,26,"air_temperature",25.2015841166179
2020-10-01,26,"air_temperature",19.4277982076009
2020-10-02,26,"air_temperature",19.5595934549968
2020-09-25,27,"air_temperature",27.0212086995443
2020-09-26,27,"air_temperature",27.7892840067546
2020-09-27,27,"air_temperature",27.984386698405
2020-09-28,27,"air_temperature",27.466881052653
2020-09-29,27,"air_temperature",25.1691095987956
2020-09-30,27,"air_temperature",21.7942977905274
2020-10-01,27,"air_temperature",21.1055491129558
2020-10-02,27,"air_temperature",20.5566129048666
2020-09-25,28,"air_temperature",27.1993372599284
2020-09-26,28,"air_temperature",27.4229548136393
2020-09-27,28,"air_temperature",27.8910245259603
2020-09-28,28,"air_temperature",25.5265747070313
2020-09-29,28,"air_temperature",23.0682362874349
2020-09-30,28,"air_temperature",18.9849143981934
2020-10-01,28,"air_temperature",19.8780545552572
2020-10-02,28,"air_temperature",19.953515625
2020-09-25,29,"air_temperature",27.0345728556315
2020-09-26,29,"air_temperature",27.3909520467123
2020-09-27,29,"air_temperature",27.2609166463216
2020-09-28,29,"air_temperature",26.376294708252
2020-09-29,29,"air_temperature",27.0717127482097
2020-09-30,29,"air_temperature",27.6223566691081
2020-10-01,29,"air_temperature",25.95089747111
2020-10-02,29,"air_temperature",23.0002774556478
2020-09-25,30,"air_temperature",27.4690668741862
2020-09-26,30,"air_temperature",27.7347999572754
2020-09-27,30,"air_temperature",28.2528422037761
2020-09-28,30,"air_temperature",27.799888865153
2020-09-29,30,"air_temperature",26.3568219502767
2020-09-30,30,"air_temperature",24.5522031148275
2020-10-01,30,"air_temperature",20.2393241882324
2020-10-02,30,"air_temperature",19.7917228698731
